Rank,Company,Main Markets,Technology,Total Subscription,Ownership
1,China MobileCommunications Corporation,China (China Mobile)    Hong Kong (CMHK)    Pakistan (Zong)    Thailand (Truemove H)    United Kingdom (CMLink),"GSM,GPRS,EDGE,TD-SCDMA,TD-HSDPA,TD-LTE,FD-LTE(Hong Kong only)",942.031-September 2019,Government of the People's Republic of China(74.25%)    Public stock (25.75%)
2,Bharti Airtel Limited,Burkina Faso (Airtel)    Chad (Airtel)    Bangladesh (Airtel)    DR Congo (Airtel)    Gabon (Airtel)    Ghana (Airtel)    Guernsey (Airtel-Vodafone)    India(Airtel)    Jersey (Airtel-Vodafone)    Kenya (Airtel)    Madagascar (Airtel)    Malawi  (Airtel)    Niger (Airtel)    Nigeria (Airtel)    Republic of the Congo (Airtel)    Rwanda (Airtel)    Seychelles (Airtel)    Sierra Leone (Airtel)    Sri Lanka (Airtel)    Tanzania (Airtel)    Uganda (Airtel)    Zambia (Airtel),"GSM,GPRS,EDGE,HSPA,UMTS,HSPA+,LTE,TD-LTE,FD-LTE,LTE Advanced",411.42234-September 2019,Bharti Enterprises(64%)    SingTel(36%)
3,Reliance Jio Infocomm Limited,India(Jio),"TE,TD-LTE,FD-LTE,LTE Advanced",355.245-September 2019,Reliance Industrie
4,"China Telecom Corp., Ltd",ChinaMacau,"CDMA,EV-DOTD-LTE,LTE,LTE Advanced",330.436-September 2019,China Telecommunications Corporation(State Owned)     (70.89%)
5,China Unicom Limited,China UnicomCUniq HKCUniq USCUniq UK,"GSM,GPRS,EDGE,UMTS,HSDPA,HSUPA,HSPA+,TD-LTE,LTE,LTE Advanced",324.727-September 2019,China Unicom Limited (40.92%)    China Netcom Group (29.49%)    Telefonica(9.7%)
6,Vodafone Idea Limited,India(Vodafone)     & (Idea),"GSM,GPRS,EDGE,UMTS,HSPA,HSPA+,LTE,TD-LTE,FD-LTE,LTE Advanced",311.1084-September 2019,Vodafone Group(45.2%)    Aditya Birla Group(26%)    Axiata Group Berhad(8.17%)    Private equity(20.73%)
7,"América Móvil, S.A.B. de C.V","Argentina (Claro)    Austria (Telekom Austria)    Belarus (A1)    Brazil (Claro)    Bulgaria (A1)    Chile (Claro)    Colombia (Claro)    Costa Rica (Claro)    Croatia (A1)    Dominican Republic (Claro)    Ecuador (Claro)    El Salvador (Claro)    Guatemala (Claro)    Honduras (Claro)    Liechtenstein (A1)    Mexico (Telcel)    Nicaragua (Claro)    North Macedonia (A1)    Panama (Claro)    Paraguay (Claro)    Peru (Claro)    Puerto Rico(Claro,TracFone, Net10, Straight Talk, SafeLink, Simple Mobile)    Serbia (A1)    Slovenia (A1 Slovenija)    United States (TracFone, Net10, StraightTalk, SafeLink, Simple Mobile)    United States Virgin Islands (TracFone, Net10, StraightTalk, SafeLink)    Uruguay (Claro)","D-AMPS,cdmaOne,CDMA2000 1x,EV-DO,GSM,GPRS,EDGE,UMTS,HSPA+,LTE",277.919-June 2019,Helu Slim (36.50%)    Carlos Slim(6.84%)    Public stock (56.66%)
8,Telefónica S.A.,Argentina (Movistar)    Brazil (Vivo)    Chile (Movistar)    Colombia (Movistar)    Ecuador (Movistar)    El Salvador (Movistar)    Germany (O2)    Guatemala (Movistar)    Mexico (Movistar)    Peru (Movistar)    Spain (Movistar)    Sudan (Sudan Unicom)    United Kingdom (O2)    Uruguay (Movistar)    Venezuela (Movistar),"D-AMPS,cdmaOne,CDMA2000,GSM,GPRS,EDGE,UMTS,HSDPA,LTE",262.4710-June 2019,
9,MTN Group Limited,AfghanistanBeninBotswanaCameroonRepublic of the CongoCote d'IvoireGhanaGuineaGuinea-BissauIran (49%)    LiberiaNigeriaRwandaSouth AfricaSudanEswatini (30%)    SyriaUgandaYemenZambia,"GSM,GPRS,EDGE,UMTS,HSPA,HSPA+LTE",240.0011-June 2019,Public stock (68.02%)    Government Employees Pension Fund (17.23%)    M1(7.72%)
10,VEON Ltd.,Algeria (Djezzy)    Armenia (Beeline)    Bangladesh (Banglalink)    Georgia (Beeline)    Kazakhstan (Beeline)    Kyrgyzstan (Beeline)    Pakistan (Jazz)    Russia (Beeline)    North Korea (Koryolink)    Tajikistan (Beeline)    Ukraine (Kyivstar)    Uzbekistan (Beeline)    Zimbabwe (Telecel),"GSM,GPRS,EDGE,UMTS,HSDPA,HSPA+,LTE",211.0912-June 2019,etterone Investment Holdings S.A.(47.9%)    Telenor(33%)    Public stock (10.8%)    Stichting Administratiekantoor Mobile Telecommunications Investor (8.3%)
